seller_id,seller_state,seller_city,eligible_n,late_n,on_time_n_date,lfr_date,lfr_date_pct,late_over_eligible,late_n_ts,lfr_timestamp,lfr_timestamp_pct,median_days_vs_estimate,median_days_late,eligible_n_jan_apr,late_n_jan_apr,lfr_jan_apr,eligible_n_may_aug,late_n_may_aug,lfr_may_aug,eligible_n_single,late_n_single,lfr_single_seller,multi_seller_order_n,multi_seller_order_share,item_revenue,item_revenue_plus_freight,anomaly_n,meets_volume_floor,volume_band,n_floor_sellers,peer_weighted_mkt_lfr,peer_equal_wt_lfr,peer_p25_lfr,peer_median_lfr,peer_p75_lfr,peer_p90_lfr,peer_p95_lfr,pass_p75,pass_p90,attribution_conflict,date_ts_action_conflict,split_window_unstable,raise_bar_to_p90,rank_if_candidate,action,action_reason
c60b801f2d52c7f7f91de00870882a75,SP,guarulhos,39,6,33,0.1538461538,15.4,6 / 39,8,0.2051282051,20.5,-9.0000,3.0000,16,3,0.1875000000,23,3,0.1304347826,36,6,0.1666666667,3,0.0769230769,11296.50,11994.94,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,1,0,0,0,1,28,enroll,p90_and_above_weighted_after_cap
643214e62b870443ccbe55ab29a4dccf,SP,sao paulo,48,7,41,0.1458333333,14.6,7 / 48,8,0.1666666667,16.7,-9.0000,2.0000,21,3,0.1428571429,27,4,0.1481481481,48,7,0.1458333333,0,0.0000000000,2011.85,2695.92,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,1,0,0,0,1,35,enroll,p90_and_above_weighted_after_cap
8b9d6eec4a7eb7d0f9d579ce0b38324d,RJ,mesquita,48,7,41,0.1458333333,14.6,7 / 48,8,0.1666666667,16.7,-9.5000,5.0000,0,0,NULL,48,7,0.1458333333,44,7,0.1590909091,4,0.0833333333,4159.55,5826.85,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,1,0,0,0,1,36,enroll,p90_and_above_weighted_after_cap
8f2ce03f928b567e3d56181ae20ae952,SP,pirituba,104,15,89,0.1442307692,14.4,15 / 104,17,0.1634615385,16.3,-9.5000,10.0000,60,12,0.2000000000,44,3,0.0681818182,104,15,0.1442307692,0,0.0000000000,15313.10,18037.67,0,1,100_plus,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,1,0,0,0,1,37,enroll,p90_and_above_weighted_after_cap
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,sao bernardo do campo,175,25,150,0.1428571429,14.3,25 / 175,28,0.1600000000,16.0,-10.0000,7.0000,94,18,0.1914893617,81,7,0.0864197531,171,25,0.1461988304,4,0.0228571429,56043.00,59585.01,0,1,100_plus,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,1,0,0,0,1,38,enroll,p90_and_above_weighted_after_cap
2e90cb1677d35cfe24eef47d441b7c87,SP,sao paulo,84,12,72,0.1428571429,14.3,12 / 84,13,0.1547619048,15.5,-11.0000,6.0000,50,6,0.1200000000,34,6,0.1764705882,84,12,0.1428571429,0,0.0000000000,9739.70,11612.76,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,1,0,0,0,1,39,enroll,p90_and_above_weighted_after_cap
ce7d1888639e6fb06b2749cbfdac1ff7,MG,baependi,57,7,50,0.1228070175,12.3,7 / 57,7,0.1228070175,12.3,-13.0000,12.0000,32,4,0.1250000000,25,3,0.1200000000,53,7,0.1320754717,4,0.0701754386,8543.99,10863.59,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,57,inconclusive,date_vs_timestamp_action_conflict
b499c00f28f4b7069ff6550af8c1348a,SP,limeira,99,12,87,0.1212121212,12.1,12 / 99,12,0.1212121212,12.1,-12.0000,5.5000,49,9,0.1836734694,50,3,0.0600000000,94,12,0.1276595745,5,0.0505050505,7124.77,8877.84,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,60,inconclusive,date_vs_timestamp_action_conflict
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,louveira,42,5,37,0.1190476190,11.9,5 / 42,5,0.1190476190,11.9,-12.0000,12.0000,29,4,0.1379310345,13,1,0.0769230769,39,5,0.1282051282,3,0.0714285714,6030.21,6883.09,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,64,inconclusive,date_vs_timestamp_action_conflict
0176f73cc1195f367f7b32db1e5b3aa8,SP,ibitinga,34,4,30,0.1176470588,11.8,4 / 34,4,0.1176470588,11.8,-13.0000,16.5000,16,2,0.1250000000,18,2,0.1111111111,32,4,0.1250000000,2,0.0588235294,4083.50,5209.11,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,67,inconclusive,date_vs_timestamp_action_conflict
